track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_id,playlist_name
14BG5B1EJSCyNpZt096xXc,"Patawad, Paalam",0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4Lavp71TTVIdkw8yNY8LhA,323140,2019-06-14,4,0.472,0.288,2,-8.213,1,0.0318,0.865,1.01e-05,0.131,0.193,77.987,323140,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6BxJLJw228OY5BFerPGl7z,Dahan,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,5ZMRUtgLCoeyhrDdRhSXij,297500,2019-02-14,57,0.516,0.529,10,-6.596,1,0.0257,0.318,0.0,0.198,0.295,129.973,297501,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
7Livy729zY16jBsppfYLRW,Nang Iwan,5HIZU0JzM0AgfItVOm4E08,This Band,52Pn30zsnFftA4VfNH1V8O,367889,2019-07-26,0,0.431,0.556,2,-7.077,1,0.0338,0.101,0.0,0.12,0.318,149.775,367890,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
2BgD4nRyx9EZ5o8YEnjRSV,Kung 'Di Rin Lang Ikaw,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,15ufxdU6r8niuSmA9nu3ly,267759,2018-07-22,66,0.502,0.482,4,-4.736,1,0.0288,0.161,0.0,0.187,0.132,133.894,267759,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
4yLc803i7qcWx4V2piWPH5,Magkunwari ('Di Man Tayo) [TODA One I Love Official Soundtrack],4qFxP3qN9GsnZDOkAE6x2m,December Avenue,3PM0o72L1hzQImMRAlL8iU,278181,2019-02-07,55,0.523,0.699,11,-4.689,1,0.029,0.061,0.0,0.363,0.283,131.878,278182,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5f9808hpiCpuNyqqdXmpF2,Buwan,0a4r2EnsevvHCukoJ1xFwJ,juan karlos,2CF1utwLM2yXHMZhwFGVY1,343446,2018-06-22,71,0.631,0.381,7,-11.808,1,0.04,0.447,0.000171,0.0902,0.36,126.008,343446,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6wdCelHrPh7UfliNjwRTUv,Leaves,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,5Yl1Bi501CuE72jaVK4e3y,310708,2017-03-31,71,0.447,0.16,6,-10.896,1,0.0372,0.913,0.0,0.0891,0.205,118.313,310709,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
50hVyhZM4nvizfrQe38F3l,Hindi Na Nga,5HIZU0JzM0AgfItVOm4E08,This Band,1nZbFWVgFXFLQZ067FQdV8,282442,2018-09-14,0,0.396,0.413,7,-11.566,1,0.0334,0.0877,2.95e-05,0.124,0.108,136.818,282442,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5v8C6zQNQoS9i2brAIaVVU,"Hindi Tayo Pwede (from the movie ""Indak"")",09Xydf4dlkr29dH99DmsvQ,Janine,20qvPcDu0Al1dVZFNhFZfE,263221,2019-05-31,0,0.479,0.393,8,-8.996,1,0.0531,0.582,0.182,0.0587,0.16,163.733,263221,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
02GtNoUv85fOPEaCTlpYzr,"Kapit (From ""Alone / Together"")",7bT6URJrhJleZUfkrysELD,Armi Millare,007PEQI4gziBAgnjbEuXWG,242933,2019-02-13,46,0.381,0.323,1,-11.428,1,0.0272,0.743,2.38e-06,0.0769,0.417,87.622,242934,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
4fxHK6mhA9vli9NjpBSbGi,Isang Araw,0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,77ZkVwowfs27AEXl6GHiET,287400,2017-03-17,3,0.466,0.342,4,-8.191,1,0.03,0.613,0.0,0.124,0.21,135.616,287400,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
